"Number of months",120
"Number of groups",37
"Group number",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
"Forcing type",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Group name","Baleen whales","Toothed whales",Seals,Birds,"Sharks, large","Sharks, small medium","Rays, large","Rays, small medium","Pelagics, large","Pelagics, medium","Pelagics, small, carniv.","Pelagics, small, herbiv.","Benthopelagics, large","Benthopelagics, small medium","Demersals, large","Demersals, medium","Demersals, small","Reeffish, large","Reeffish, medium","Flatfish, large","Flatfish, small medium","Reeffish, small",Bathypelagics,Bathydemersals,Jellyfish,Cephalopods,Shrimps,"Lobsters, crabs",Macrobenthos,Meiobenthos,Corals,"Softcorals, sponges, etc",Krill,"Zooplankton, other",Phytoplankton,"Benthic plants",Detritus
"Month 65",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 66",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 67",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 68",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 69",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 70",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 71",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 72",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 73",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 74",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
"Month 75",-999,-999,-999,-999,0.3084,0.4112,0.37008,0.2056,0.3855,1.028,0.06168,0.12336,0.771,1.542,0.80184,1.2336,-999,0.6168,1.2336,0.771,1.542,-999,-999,-999,-999,0.6168,0.3084,2.4672,0.01542,-999,-999,-999,-999,-999,-999,-999,-999
